CreativeID,CreativeDesc,Coder1,Coder2,CreativeType
5068306,HAND WITH BATTERIES/SMART LOCK/MAN,Emotional,Informational,Emotional
5068600,MAN AT DOOR/BATTERIES/LIVING ROOM,Emotional,Emotional,Emotional
5068953,MAN/BATTERIES IN LOCK/GROCERY BAG,Emotional,Informational,Emotional
5084351,BOY/WOMAN ON COUCH/LAPTOP/TEXT/LOGO,Emotional,Informational,Informational
5087355,FAMILY/BOXES/PRODUCT/HANDS/WALL,Emotional,Emotional,Informational
5090434,CANDLE/WOMAN NEAR WINDOWS/TEXT,Emotional,Emotional,Emotional
5092725,WOMAN/CANDLE/WINDOW/DOOR/LOGO/TEXT,Emotional,Emotional,Informational
5096618,MAN/BATTERIES/HAND/COMPUTER/FRIDGE,Emotional,Emotional,Emotional
5100422,WOMAN JOGGING/COUPLE AT TABLE/TEXT,Emotional,Emotional,Emotional
5101584,HAND WITH BATTERIES/MONITOR/TEXT,Informational,Informational,Informational
5103550,WOMAN HOLDING COFFEE/COUPLE/PHONE,Emotional,Emotional,Emotional
5106591,WOMAN/MAN IN APRON/KITCHEN/PEOPLE,Emotional,Emotional,Emotional
5116742,COUPLE AT TABLE/PHONE/CAT/PIANO,Emotional,Informational,Emotional
5116749,COUPLE IN KITCHEN/GIRL/SPLIT SCREEN,Informational,Emotional,Emotional
5119684,WOMAN/GIRL/PRODUCT SHOWN/MAN/MIRROR,Informational,Informational,Informational
5121030,KITCHEN/MEN & WOMEN/DOG/SHOES/CAT,Emotional,Emotional,Emotional
5121674,MINIATURE MAN/2 MEN/PRODUCT/TEXT,Informational,Informational,Informational
5130935,CANDLE ON TABLE/WOMAN/CHARACTERS,Emotional,Emotional,Emotional
5133020,SCENE FROM MOVIE/WOMAN/CANDLE/LOGO,Informational,Emotional,Emotional
5134399,WOMAN/CANDLE/SCENES FROM MOVIE/LOGO,Informational,Informational,Informational
5134408,WOMAN/COAT RACK/BOX/CANDLE/STAIRS,Emotional,Informational,Emotional
5134474,WOMAN/MAN BRUSHING/GIRL BRUSHING,Emotional,Emotional,Emotional
5135089,BOY/SLEEPING WOMAN/FINGER/COMPUTER,Emotional,Emotional,Emotional
5139010,CHRISTMAS TREE/WOMAN & MAN/KIDS,Emotional,Emotional,Emotional
5139674,MAN AT KITCHEN/TABLE/BATTERIES PACK,Informational,Informational,Emotional
5139985,MAN WITH GLASSES/BATTERIES/WOMAN,Informational,Emotional,Emotional
5141207,WOMAN NEAR CHRISTMAS TREE/PRODUCT,Emotional,Informational,Informational
5141735,ANIMATED BUNNY WITH SUNGLASSES/TEXT,Emotional,Informational,Emotional
5147162,SANTA HOLDING BATTERIES/BOY/WOMAN,Emotional,Informational,Emotional
5148505,ANIMATED ROBOT WITH BATTERY/TEXT,Unclear,Emotional,Emotional
5150307,MAN EATING/WOMAN/LAPTOP/2 MEN/TEXT,Emotional,Emotional,Emotional
5150876,PEOPLE IN BUS/WOMAN WITH BAG/LAPTOP,Emotional,Emotional,Emotional
